,Unnamed: 0,Text,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0, Enjoying a beautiful day at the park!              ,15-01-2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
1,1, Traffic was terrible this morning.                 ,15-01-2023 08:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
2,2, Just finished an amazing workout! 💪               ,15-01-2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
3,3, Excited about the upcoming weekend getaway!        ,15-01-2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
4,4, Trying out a new recipe for dinner tonight.        ,15-01-2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
5,5, Feeling grateful for the little things in life.    ,16-01-2023 09:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
6,6, Rainy days call for cozy blankets and hot cocoa.   ,16-01-2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
7,7, The new movie release is a must-watch!             ,16-01-2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
8,8, Political discussions heating up on the timeline.  ,17-01-2023 08:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
9,9, Missing summer vibes and beach days.               ,17-01-2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
10,10, Just published a new blog post. Check it out!      ,17-01-2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
11,11, Feeling a bit under the weather today.             ,18-01-2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
12,12, Exploring the city's hidden gems.                  ,18-01-2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
13,13," New year, new fitness goals! 💪                    ",18-01-2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
14,14, Technology is changing the way we live.            ,19-01-2023 09:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9
15,15, Reflecting on the past and looking ahead.          ,19-01-2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13
16,16, Just adopted a cute furry friend! 🐾              ,19-01-2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
